id,city,count,latitude,longitude
1,"YUBA CITY",5541,39.110423,-121.644106
2,REDDING,247,40.533398,-122.335743
3,HAYWARD,1684,37.643417,-122.070540
4,FOWLER,2382,36.652621,-119.685764
5,MECCA,484,33.502942,-115.982892
6,SALINAS,1293,36.724811,-121.560094
7,DAVIS,649,38.515094,-121.839898
8,MOORPARK,1047,34.298464,-118.938476
9,"SANTA ROSA",1307,38.465612,-122.582997
10,LAYTONVILLE,161,39.776583,-123.587763
11,TURLOCK,1780,37.553059,-120.863200
12,MONTAGUE,67,41.647922,-122.326885
13,ESCONDIDO,1556,33.068290,-117.115616
14,"MC FARLAND",1373,35.664636,-119.115081
15,"SOUTH LAKE TAHOE",295,38.972250,-120.755411
16,BREA,2853,33.947427,-117.780276
17,"ELK GROVE",1427,38.430110,-121.296467
18,GLENN,647,39.599634,-122.016602
19,SUSANVILLE,78,40.633294,-120.847256
20,"ARROYO GRANDE",937,35.139093,-120.516491
